;Total_Power_10;Total_Power_20;Total_Power_30;Total_Power_40;Total_Power_50;Total_Power_60;Total_Power_70;Total_Power_80;Total_Power_90;Total_Power_100
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;960.0;960.0;960.0;960.0;960.0;960.0;960.0;960.0;960.0;0.0
8;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;0.0
9;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;0.0
10;2600.0;2600.0;2600.0;2600.0;2600.0;2600.0;1200.0;1200.0;1200.0;0.0
11;2950.0;2950.0;2950.0;2950.0;2950.0;2950.0;1200.0;1200.0;1200.0;0.0
12;2950.0;2950.0;2950.0;2950.0;2950.0;2950.0;1200.0;1200.0;1200.0;0.0
13;1550.0;1550.0;1550.0;1550.0;1550.0;1550.0;1200.0;1200.0;1200.0;0.0
14;2325.0;2325.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;1200.0;0.0
15;1365.0;1365.0;240.0;240.0;240.0;240.0;240.0;240.0;240.0;0.0
16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0.0;0.0;0.0;0.0;0.0;0.0;270.0;0.0;0.0;0.0
23;0.0;0.0;0.0;0.0;0.0;0.0;450.0;0.0;0.0;0.0
24;0.0;0.0;0.0;0.0;0.0;0.0;450.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0;0.0;0.0;450.0;0.0;0.0;150.0
26;0.0;0.0;0.0;0.0;150.0;0.0;450.0;0.0;450.0;450.0
27;0.0;0.0;0.0;0.0;450.0;0.0;450.0;0.0;450.0;450.0
28;0.0;0.0;0.0;0.0;450.0;0.0;450.0;0.0;450.0;450.0
29;380.0;380.0;380.0;380.0;450.0;0.0;30.0;0.0;450.0;450.0
30;950.0;950.0;950.0;950.0;450.0;0.0;0.0;0.0;450.0;883.3333333333334
31;950.0;950.0;950.0;950.0;450.0;0.0;366.6666666666667;0.0;450.0;950.0
32;950.0;950.0;950.0;950.0;450.0;0.0;500.0;390.0;300.0;650.0
33;570.0;870.0;570.0;570.0;450.0;0.0;1133.3333333333333;816.6666666666666;760.0;500.0
34;0.0;916.6666666666666;0.0;0.0;1125.0;0.0;1450.0;950.0;506.6666666666667;675.0
35;0.0;950.0;0.0;0.0;825.0;856.6666666666666;1316.6666666666667;950.0;430.0;1125.0
36;0.0;950.0;0.0;0.0;0.0;450.0;950.0;950.0;1170.0;750.0
37;0.0;950.0;0.0;1466.6666666666667;0.0;450.0;316.6666666666667;816.6666666666666;950.0;0.0
38;0.0;716.6666666666666;0.0;2200.0;0.0;450.0;586.6666666666666;360.0;950.0;1286.6666666666667
39;0.0;450.0;300.0;2500.0;0.0;450.0;0.0;0.0;886.6666666666666;2366.6666666666665
40;0.0;0.0;500.0;2500.0;266.6666666666667;450.0;225.0;800.0;1200.0;2000.0
41;0.0;0.0;500.0;1033.3333333333333;2000.0;450.0;1125.0;2000.0;2000.0;2000.0
42;0.0;0.0;500.0;500.0;2000.0;30.0;1483.3333333333333;2000.0;2000.0;933.3333333333334
43;0.0;0.0;433.3333333333333;33.333333333333336;2000.0;2233.3333333333335;1750.0;2000.0;2000.0;0.0
44;0.0;0.0;0.0;600.0;1733.3333333333333;2500.0;1750.0;1200.0;1733.3333333333333;720.0
45;0.0;0.0;1050.0;1125.0;0.0;2500.0;1166.6666666666667;0.0;1750.0;1516.6666666666667
46;0.0;0.0;1125.0;525.0;0.0;2500.0;0.0;0.0;1750.0;2150.0
47;0.0;0.0;75.0;0.0;300.0;500.0;933.3333333333334;586.6666666666666;816.6666666666666;2150.0
48;586.6666666666666;586.6666666666666;616.6666666666666;586.6666666666666;1086.6666666666667;0.0;2000.0;0.0;0.0;2150.0
49;0.0;0.0;450.0;180.0;500.0;0.0;2000.0;1750.0;975.0;1833.3333333333333
50;0.0;0.0;450.0;450.0;500.0;0.0;2000.0;1750.0;1625.0;1550.0
51;0.0;0.0;450.0;450.0;433.3333333333333;0.0;1066.6666666666667;1750.0;950.0;2950.0
