;Dish_Washer;Kettle;Toaster;Vaccum_Cleaner;Clothing_Iron;Oven;EV;Electric_Water_Heater;Wash_Dryer;Washing_Machine;Total_Power
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;960.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;960.0
8;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1200.0
9;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1200.0
10;1200.0;0.0;0.0;1400.0;0.0;0.0;0.0;0.0;0.0;0.0;2600.0
11;1200.0;0.0;0.0;1750.0;0.0;0.0;0.0;0.0;0.0;0.0;2950.0
12;1200.0;0.0;0.0;1750.0;0.0;0.0;0.0;0.0;0.0;0.0;2950.0
13;1200.0;0.0;0.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0;1550.0
14;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;1125.0;0.0;0.0;2325.0
15;240.0;0.0;0.0;0.0;0.0;0.0;0.0;1125.0;0.0;0.0;1365.0
16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;240.0;240.0
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0;450.0
20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0;450.0
21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0;450.0
22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0;450.0
23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0;450.0
24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0;450.0
25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;60.0
26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;0.0;0.0;0.0;0.0;0.0;380.0;0.0;0.0;0.0;0.0;380.0
30;0.0;0.0;0.0;0.0;0.0;950.0;0.0;0.0;0.0;0.0;950.0
31;0.0;0.0;0.0;0.0;0.0;950.0;0.0;0.0;0.0;0.0;950.0
32;0.0;0.0;0.0;0.0;0.0;950.0;0.0;0.0;0.0;0.0;950.0
33;0.0;0.0;0.0;0.0;0.0;570.0;0.0;0.0;0.0;0.0;570.0
34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;0.0;0.0;0.0;0.0;586.6666666666666;0.0;0.0;0.0;0.0;0.0;586.6666666666666
49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;0.0;0.0;0.0;0.0;0.0;0.0;1600.0;0.0;0.0;0.0;1600.0
60;0.0;760.0;0.0;0.0;0.0;0.0;2000.0;0.0;0.0;0.0;2760.0
61;0.0;506.6666666666667;0.0;0.0;0.0;0.0;2000.0;0.0;0.0;0.0;2506.6666666666665
62;0.0;0.0;0.0;0.0;0.0;0.0;2000.0;0.0;0.0;0.0;2000.0
63;0.0;0.0;0.0;0.0;0.0;0.0;400.0;0.0;0.0;0.0;400.0
64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;0.0;0.0;933.3333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933.3333333333334
79;0.0;0.0;66.66666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.66666666666667
80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.66666666666667;0.0;66.66666666666667
84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500.0;0.0;500.0
85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500.0;0.0;500.0
86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500.0;0.0;500.0
87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500.0;0.0;500.0
88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;166.66666666666666;0.0;166.66666666666666
89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
